Task ID,Phase,Goal,Codex Instruction,Files/Areas,Acceptance Criteria,Verification Command,Dependencies,Priority,Status,Notes
T001,0 - Project Scan,Inspect repo structure,Inspect the existing repo structure and identify where a custom Gymnasium environment should live without forcing a new layout.,repo root,A short note exists in implementation summary explaining chosen file locations.,tree -L 3 or equivalent,,High,Completed,Do not move unrelated files.
T002,0 - Project Scan,Confirm dependencies,"Check pyproject/requirements and add only minimal dependencies needed for gymnasium env, numpy, pygame, pytest, and optional stable-baselines3 checker.",pyproject.toml / requirements.txt,Dependencies are minimal and importable; no heavy simulator/game engine added.,"python -c ""import gymnasium, numpy, pygame, pytest""",T001,High,Completed,"If SB3 is already absent, add it only if project allows it; otherwise make checker optional."
T003,0 - Project Scan,Create task notes,Create or update a lightweight implementation notes file listing assumptions and commands.,docs/ or root README section,"Notes include env id, commands, and known limitations.",cat docs/drone_intercept_3d_notes.md,T001,Medium,Completed,Keep concise.
T004,1 - Env Skeleton,Create package skeleton,Create the DroneIntercept3DEnv package/module structure fitting the repo style.,drone_env/envs/drone_intercept_3d.py,Environment imports cleanly from package.,"python -c ""from drone_env.envs.drone_intercept_3d import DroneIntercept3DEnv""",T001,High,Completed,Use existing package if one exists.
T005,1 - Env Skeleton,Add config dataclass,"Add a dataclass for all tunable parameters: world size, speeds, accel, dt, capture radius, max steps, reward weights, render size.",drone_intercept_3d.py or config.py,All major knobs are editable from one config object.,"python - <<'PY'
from drone_env.envs.drone_intercept_3d import DroneIntercept3DConfig
print(DroneIntercept3DConfig())
PY",T004,High,Completed,No magic constants scattered through step().
T006,1 - Env Skeleton,Define action space,"Implement continuous 3D acceleration action space Box(-1, 1, shape=(3,)).",DroneIntercept3DEnv.__init__,"action_space shape is (3,), dtype float32, bounded [-1, 1].","python - <<'PY'
from drone_env.envs.drone_intercept_3d import DroneIntercept3DEnv
env=DroneIntercept3DEnv(); print(env.action_space)
PY",T004,High,Completed,Clip incoming actions in step.
T007,1 - Env Skeleton,Define observation space,"Implement 20-dimensional normalized observation vector with pursuer/target pos/vel, relative pos/vel, distance, previous distance.","DroneIntercept3DEnv.__init__, _get_obs","Observation shape is (20,), finite, float32.",pytest -q tests/test_drone_intercept_3d.py::test_reset_returns_valid_obs,T004,High,Completed,Normalize positions and velocities.
T008,1 - Env Skeleton,Register environment,Register DroneIntercept3D-v0 with Gymnasium so gym.make can instantiate it.,drone_env/__init__.py,gymnasium.make('DroneIntercept3D-v0') works after importing package.,"python - <<'PY'
import gymnasium as gym, drone_env
env=gym.make('DroneIntercept3D-v0')
print(env)
PY",T004,Medium,Completed,Avoid duplicate registration crash on repeated imports.
T009,2 - State Reset,Implement deterministic seeding,Use Gymnasium-compatible seeding through reset(seed=...).,reset,Same seed gives same initial state.,pytest -q tests/test_drone_intercept_3d.py::test_seed_reproducibility,T007,High,Completed,Use self.np_random.
T010,2 - State Reset,Spawn pursuer safely,"Spawn pursuer within world bounds, above floor, away from target.",reset,Pursuer z > safe_min_z and within bounds.,pytest -q tests/test_drone_intercept_3d.py::test_reset_spawns_in_bounds,T009,High,Completed,Avoid floor-start crash.
T011,2 - State Reset,Spawn target safely,Spawn target within world bounds and separated from pursuer by min initial distance.,reset,Initial distance > capture_radius * 3 by default.,pytest -q tests/test_drone_intercept_3d.py::test_reset_spawns_in_bounds,T010,High,Completed,Make min distance configurable.
T012,2 - State Reset,Track previous state,Store previous distance and previous action correctly for reward shaping.,"reset, step",previous_distance initialized to current distance and previous_action initialized to zeros.,pytest -q tests/test_drone_intercept_3d.py::test_previous_state_initialized,T011,High,Completed,Needed for progress/smoothness rewards.
T013,3 - Kinematics,Implement pursuer kinematics,Update pursuer velocity and position from clipped acceleration action using dt and max_accel.,step,Manual one-step calculation matches expected position/velocity.,pytest -q tests/test_drone_intercept_3d.py::test_pursuer_kinematics,T012,High,Completed,No complicated aerodynamics.
T014,3 - Kinematics,Clip pursuer speed,Limit pursuer velocity norm to pursuer_max_speed.,step / geometry util,Velocity norm never exceeds max speed by more than epsilon.,pytest -q tests/test_drone_intercept_3d.py::test_pursuer_speed_clipped,T013,High,Completed,Preserve direction while clipping norm.
T015,3 - Kinematics,Boundary helpers,"Add helper functions for distance, unit vector, speed clipping, in-bounds checks, and safe normalization.",utils/geometry.py,Geometry tests pass and avoid division by zero.,pytest -q tests/test_geometry.py,T013,Medium,Completed,Keep pure functions testable.
T016,3 - Kinematics,Implement target straight mode,Target moves with constant velocity and turns/bounces near boundaries.,_update_target,Target remains in bounds during straight-mode rollout.,pytest -q tests/test_drone_intercept_3d.py::test_target_straight_mode,T015,Medium,Completed,Good first visual sanity mode.
T017,3 - Kinematics,Implement target evasive mode,Target moves away from pursuer with small lateral/random motion while avoiding boundaries.,_update_target,"Target velocity finite, clipped, and generally points away when close.",pytest -q tests/test_drone_intercept_3d.py::test_target_evasive_mode,T016,High,Completed,Default target mode.
T018,3 - Kinematics,Implement target orbit mode,Target circles around a center with slight altitude variation for visualization/debugging.,_update_target,Orbit-mode rollout stays bounded and visibly changes x/y/z.,pytest -q tests/test_drone_intercept_3d.py::test_target_orbit_mode,T017,Low,Completed,Useful demo mode.
T019,4 - Reward,Implement reward breakdown shell,Return info['reward_breakdown'] with exactly the 10 named reward components even before tuning.,_compute_reward,All 10 keys exist every step.,pytest -q tests/test_drone_intercept_3d.py::test_reward_breakdown_has_all_components,T013,High,Completed,No hidden reward terms.
T020,4 - Reward,Capture reward,Add +100 capture reward when distance <= capture_radius.,_compute_reward,Capture reward positive and episode terminates.,pytest -q tests/test_drone_intercept_3d.py::test_capture_terminates,T019,High,Completed,Primary objective.
T021,4 - Reward,Distance progress reward,"Add clipped progress reward: 4.0 * clip(prev_dist - curr_dist, -5, 5).",_compute_reward,Progress reward positive when closer and negative when farther.,pytest -q tests/test_drone_intercept_3d.py::test_distance_progress_reward_positive_when_closer,T019,High,Completed,Critical dense shaping.
T022,4 - Reward,Distance penalty,Add -0.03 * current_distance penalty.,_compute_reward,Distance penalty is negative and proportional to distance.,pytest -q tests/test_drone_intercept_3d.py::test_distance_penalty,T019,Medium,Completed,Avoid excessive weight.
T023,4 - Reward,Time penalty,Add -0.05 per-step penalty.,_compute_reward,Every non-terminal normal step includes time_penalty = -0.05.,pytest -q tests/test_drone_intercept_3d.py::test_time_penalty,T019,Medium,Completed,Encourages speed.
T024,4 - Reward,Velocity alignment reward,"Reward cosine similarity between pursuer velocity and direction to target, clamped [-1.5, 1.5].",_compute_reward,"Alignment reward positive when moving toward target, negative when moving away.",pytest -q tests/test_drone_intercept_3d.py::test_alignment_reward,T019,High,Completed,Use safe norm for zero velocity.
T025,4 - Reward,Relative closing speed reward,"Reward actual closing speed using relative velocity projected onto target direction, clamped to reasonable bounds.",_compute_reward,Closing speed reward positive when relative motion closes distance.,pytest -q tests/test_drone_intercept_3d.py::test_closing_speed_reward,T019,High,Completed,Important for interception.
T026,4 - Reward,Energy penalty,Penalize squared action magnitude using -0.02 * ||action||^2.,_compute_reward,Zero action has no energy penalty; max action has negative penalty.,pytest -q tests/test_drone_intercept_3d.py::test_energy_penalty,T019,Medium,Completed,Prevents twitching.
T027,4 - Reward,Smoothness penalty,Penalize action change using -0.01 * ||action - previous_action||^2.,_compute_reward,Penalty increases with larger action changes.,pytest -q tests/test_drone_intercept_3d.py::test_smoothness_penalty,T019,Medium,Completed,Needs previous_action update after reward.
T028,4 - Reward,Altitude safety penalty,Penalize z below safe_min_z or above safe_max_z.,_compute_reward,Penalty is zero in safe band and negative outside it.,pytest -q tests/test_drone_intercept_3d.py::test_altitude_penalty,T019,Medium,Completed,Avoid floor/ceiling hugging.
T029,4 - Reward,Safety failure penalty,Add -100 crash penalty and -75 out-of-bounds penalty under one breakdown key.,_compute_reward,Crash/out-of-bounds produce negative safety_failure_penalty.,pytest -q tests/test_drone_intercept_3d.py::test_crash_terminates,T019,High,Completed,Hard safety constraints.
T030,5 - Episode Logic,Capture termination,Terminate when distance <= capture_radius and set info['captured']=True.,step,Capture test passes.,pytest -q tests/test_drone_intercept_3d.py::test_capture_terminates,T020,High,Completed,Do this before timeout check.
T031,5 - Episode Logic,Crash termination,Terminate when pursuer z <= 0 and set info['crashed']=True.,step,Crash test passes.,pytest -q tests/test_drone_intercept_3d.py::test_crash_terminates,T029,High,Completed,Floor is z=0.
T032,5 - Episode Logic,Out-of-bounds termination,Terminate when pursuer leaves arena beyond margin and set info['out_of_bounds']=True.,step,Out-of-bounds test passes.,pytest -q tests/test_drone_intercept_3d.py::test_out_of_bounds_terminates,T029,High,Completed,"Target should avoid bounds, pursuer can fail bounds."
T033,5 - Episode Logic,Timeout truncation,Truncate at max_steps without marking terminated unless also captured/crashed/OOB.,step,truncated=True at max_steps.,pytest -q tests/test_drone_intercept_3d.py::test_timeout_truncates,T030,Medium,Completed,Gymnasium API correctness.
T034,6 - Rendering,Create renderer module,Create a lightweight pygame renderer with fixed isometric 3D-to-2D projection.,utils/rendering.py,Renderer initializes without opening multiple duplicate windows.,python scripts/manual_policy_demo.py --render-mode human --episodes 1,T033,High,Completed,No heavy engines.
T035,6 - Rendering,Draw arena/floor grid,Render arena bounds and a simple floor grid so 3D movement is understandable.,rendering.py,Human render clearly shows arena and floor plane.,python scripts/manual_policy_demo.py --target-mode orbit --render-mode human,T034,Medium,Completed,Keep cheap on laptop.
T036,6 - Rendering,Draw drones and trails,"Render pursuer, target, distance line, and short trails for both drones.",rendering.py,Both drones and trails are visible during rollout.,python scripts/manual_policy_demo.py --render-mode human,T035,High,Completed,Use simple circles/triangles.
T037,6 - Rendering,Add HUD text,"Render step count, distance, reward, and captured/crashed flags.",rendering.py,HUD text visible and updates each frame.,python scripts/manual_policy_demo.py --render-mode human,T036,Medium,Completed,Useful debugging.
T038,6 - Rendering,Support rgb_array,Implement render_mode='rgb_array' returning H x W x 3 numpy array.,"render, renderer",rgb_array test passes.,pytest -q tests/test_drone_intercept_3d.py::test_render_rgb_array,T034,Medium,Completed,"If impossible, skip test with clear reason, but attempt first."
T039,6 - Rendering,Close renderer cleanly,Implement close() to quit pygame resources.,close,Repeated env create/render/close does not crash.,pytest -q tests/test_drone_intercept_3d.py::test_render_close_reopen,T038,Medium,Completed,Avoid zombie windows.
T040,7 - Scripts,Add check_env script,"Create scripts/check_env.py using SB3 check_env if available, with clear fallback message if SB3 is absent.",scripts/check_env.py,Script exits 0 when env is valid.,python scripts/check_env.py,T033,High,Completed,Do not hide failures.
T041,7 - Scripts,Add random rollout script,"Create scripts/random_rollout.py with args for episodes, target mode, render mode, seed.",scripts/random_rollout.py,"Prints reward, length, captured, final distance per episode.",python scripts/random_rollout.py --episodes 3,T033,High,Completed,No training here.
T042,7 - Scripts,Add manual policy demo,Create scripts/manual_policy_demo.py with direction-to-target hand-coded pursuit policy.,scripts/manual_policy_demo.py,"In straight mode, final distance usually improves or intercepts.",python scripts/manual_policy_demo.py --target-mode straight --episodes 3,T033,High,Completed,Primary sanity demo.
T043,7 - Scripts,Add reward debug script,Create optional scripts/reward_debug.py that prints reward breakdown over a short manual rollout.,scripts/reward_debug.py,Reward breakdown columns print cleanly.,python scripts/reward_debug.py --steps 20,T029,Medium,Completed,Helps tune weights.
T044,8 - Tests,Add reset/step tests,Add pytest tests for reset and step Gymnasium API correctness.,tests/test_drone_intercept_3d.py,Reset/step tests pass.,pytest -q tests/test_drone_intercept_3d.py::test_reset_returns_valid_obs tests/test_drone_intercept_3d.py::test_step_returns_valid_outputs,T033,High,Completed,Use small fast tests.
T045,8 - Tests,Add termination tests,"Add pytest tests for capture, crash, OOB, and timeout behavior.",tests/test_drone_intercept_3d.py,Termination tests pass.,pytest -q tests/test_drone_intercept_3d.py -k 'capture or crash or out_of_bounds or timeout',T033,High,Completed,Use direct state setup helpers.
T046,8 - Tests,Add reward tests,Add pytest tests for all 10 reward components and progress sign.,tests/test_drone_intercept_3d.py,Reward tests pass.,pytest -q tests/test_drone_intercept_3d.py -k 'reward or penalty or alignment or closing',T029,High,Completed,Prevents reward drift.
T047,8 - Tests,Add rendering tests,"Add pytest tests for rgb_array and close/reopen behavior, skipped only if renderer unavailable in CI.",tests/test_drone_intercept_3d.py,Rendering tests pass or skip with explicit reason.,pytest -q tests/test_drone_intercept_3d.py -k 'render',T039,Medium,Completed,Headless environments may need SDL dummy driver.
T048,8 - Tests,Run full pytest,Run the entire test suite and fix failures without weakening tests.,all tests,All tests pass or failures are clearly documented if external dependency issue.,pytest -q,"T044,T045,T046,T047",High,Completed,Do not claim success unless run.
T049,9 - Final Validation,Run env checker,Run scripts/check_env.py and fix Gymnasium/SB3 compatibility issues.,env + script,check_env passes or absence of SB3 is documented with equivalent API tests passing.,python scripts/check_env.py,T048,High,Completed,Important before training.
T050,9 - Final Validation,Run random rollout,Run random rollout for at least 3 episodes to verify no crashes.,scripts/random_rollout.py,Script completes and prints episode stats.,python scripts/random_rollout.py --episodes 3,T049,Medium,Completed,Look for NaNs.
T051,9 - Final Validation,Run manual policy no-render,Run manual policy in straight mode without rendering and verify distance generally improves.,scripts/manual_policy_demo.py,Manual policy improves distance or captures in straight mode.,python scripts/manual_policy_demo.py --target-mode straight --episodes 3,T050,High,Completed,Core sanity check.
T052,9 - Final Validation,Run manual policy with render,Run one short human-render demo and verify visualization works.,renderer + demo,"Window opens, renders drones, closes cleanly.",python scripts/manual_policy_demo.py --target-mode orbit --render-mode human --episodes 1,T051,Medium,Completed,"On headless machine, document limitation."
T053,9 - Final Validation,Write final implementation summary,"Summarize changed files, commands run, results, assumptions, and TODOs.",summary message / docs,Summary is truthful and includes command outputs or status.,manual review,T052,High,Completed,Never claim unrun tests passed.
