id,phase,area,atomic_goal,acceptance_criteria,dependencies,suggested_tests,priority,complexity,notes
D2-000,0 - Baseline,Scope/Safety,Add a short project scope note stating v2 is simulation-only and uses non-destructive tracking/capture-radius success semantics.,"README or docs include: simulation-only; no payload/weapon behavior; success means proximity/track hold, not impact or damage.",,Docs grep confirms terms exist.,P0,S,
D2-001,0 - Baseline,Repo Hygiene,Create a feature branch named drone-intercept-3d-v2 or equivalent.,Git branch exists and current work is isolated from main.,,git status and git branch confirm branch.,P0,S,
D2-002,0 - Baseline,Repo Hygiene,Snapshot the current successful environment behavior before changing v2 code.,Existing env can still be run or a checkpoint/commit/tag preserves the known-good state.,D2-001,Run previous env smoke test.,P0,S,
D2-003,0 - Baseline,Repo Hygiene,Create a v2 implementation area without breaking v1.,New files/classes use v2 names; v1 imports/tests continue to pass.,D2-002,Run all existing tests or import checks.,P0,S,
D2-004,0 - Baseline,Dependencies,Document required Python packages for Gymnasium/PufferLib training and rendering.,"requirements/README lists gymnasium, numpy, pytest, optional matplotlib/render extras, and any existing project deps.",,Fresh environment install instructions are present.,P1,S,
D2-005,0 - Baseline,Definition of Done,Add a short Definition of Done checklist for every atomic task.,"Checklist includes tests, deterministic seeding, no regressions, and readable docs for changed behavior.",,Docs contain a reusable DoD checklist.,P1,S,
D2-010,1 - Env Contract,Config,Create a DroneIntercept3DConfig dataclass or equivalent config object.,"Config centralizes world bounds, dt, max steps, drone limits, target limits, obstacle counts, sensor ranges, reward weights, and curriculum level.",D2-003,Unit test default config values are importable and sane.,P0,M,
D2-011,1 - Env Contract,Config,Add deterministic random seed handling for reset and obstacle generation.,"Same seed creates same agent spawn, target spawn, and obstacle layout.",D2-010,Reset twice with same seed and compare generated state.,P0,M,
D2-012,1 - Env Contract,Gymnasium,"Register a new environment id, e.g. DroneIntercept3D-v2, without replacing v1.",gymnasium.make or project factory can instantiate v2; v1 still works.,"D2-003,D2-010",Smoke test env creation for v1 and v2.,P0,S,
D2-013,1 - Env Contract,Action Space,Define the v2 action space as normalized continuous controls.,"Action space supports bounded acceleration/thrust commands and yaw-rate command, all in [-1, 1].",D2-010,action_space.sample passes step without shape/type errors.,P0,M,
D2-014,1 - Env Contract,Observation Space,Define a stable observation vector schema and document every index.,"Observation schema includes self kinematics, target visibility fields, last-seen fields, obstacle rays, and timing fields.",D2-010,Observation shape matches observation_space; docs list indices.,P0,M,
D2-015,1 - Env Contract,Info Dict,Standardize the info dictionary returned by step.,"info contains named debug values: distance_to_target, target_visible, collision, success_hold_steps, reward_terms, nearest_obstacle_distance.",D2-014,Step once and assert required keys exist.,P1,S,
D2-016,1 - Env Contract,Reward Terms,Represent reward components as named terms before summing.,Reward code produces a dict of component values and total reward equals the sum.,D2-015,Unit test reward sum equals total.,P1,M,
D2-020,2 - Kinematics,State,Replace 2D point state with 3D agent position and velocity.,"Agent state tracks x,y,z and vx,vy,vz as float32 within world bounds.",D2-010,Reset/step observation includes nonzero 3D state.,P0,M,
D2-021,2 - Kinematics,State,Add agent yaw/heading state.,Agent has yaw angle and yaw rate or commanded yaw-rate state used by perception/rendering.,D2-020,Yaw changes when yaw action is applied.,P0,M,
D2-022,2 - Kinematics,Dynamics,Implement limited acceleration instead of instant position jumps.,Action maps to acceleration bounded by config; velocity integrates over dt.,"D2-013,D2-020",Repeated forward action increases velocity up to cap.,P0,M,
D2-023,2 - Kinematics,Dynamics,Implement max velocity clipping.,Agent speed cannot exceed configured max_speed.,D2-022,Apply max action for many steps and assert speed <= cap.,P0,S,
D2-024,2 - Kinematics,Dynamics,Implement max yaw-rate clipping.,Yaw command is bounded and integrated over dt.,"D2-021,D2-013",Yaw-rate cannot exceed config cap.,P1,S,
D2-025,2 - Kinematics,Dynamics,Add gravity-neutral hover assumption for v2.,Default no-action behavior does not fall; this remains a simplified drone control abstraction.,D2-022,No-action step keeps altitude approximately stable unless wind/drift is enabled.,P1,S,
D2-026,2 - Kinematics,Bounds,Implement 3D world bounds and out-of-bounds detection.,Leaving bounds sets termination or failure flag according to config.,D2-020,Force position outside bounds and assert termination/failure.,P0,S,
D2-030,3 - Drone Body,Geometry,Model the agent body as a vertical capsule/cylinder abstraction.,"Config includes body_radius, body_height, and rotor_span_radius.","D2-010,D2-020",Geometry helper returns expected radius/height values.,P0,M,
D2-031,3 - Drone Body,Collision,Use rotor_span_radius for conservative obstacle collision checks.,"Collision checks use outer rotor span, not only center point.",D2-030,Obstacle near center but outside/inside rotor radius behaves correctly.,P0,M,
D2-032,3 - Drone Body,Clearance,Compute nearest obstacle clearance from rotor span.,nearest_obstacle_distance accounts for rotor radius and becomes negative on collision.,D2-031,Known obstacle positions produce expected clearance.,P0,M,
D2-033,3 - Drone Body,Rendering,Render the v2 drone as a simple cylindrical body plus rotor span marker in debug views.,Render/debug output visually distinguishes body center and collision radius.,D2-030,Manual render smoke test runs without crashing.,P2,M,
D2-034,3 - Drone Body,Docs,"Document that this is a simplified body model, not individual motor physics.",Docs explain why full motor physics is deferred.,D2-030,Docs contain body model assumptions.,P2,S,
D2-040,4 - Spawn/Launch,Spawn,Implement hand-launch start distribution.,Agent spawns near low hand height with small randomized x/y and heading.,"D2-011,D2-020",Seeded reset places agent within launch box.,P0,S,
D2-041,4 - Spawn/Launch,Spawn,Implement target spawn above and away from the agent.,Target spawn has higher altitude than agent and minimum horizontal/3D separation.,"D2-011,D2-050",Seeded reset validates target altitude and separation.,P0,M,
D2-042,4 - Spawn/Launch,Curriculum,Create curriculum knobs for start distance and altitude gap.,Config can make target easier/harder by changing distance and altitude ranges.,"D2-010,D2-041",Unit test easy/hard configs change spawn ranges.,P1,S,
D2-043,4 - Spawn/Launch,Reward,Add early launch-altitude shaping reward that expires after a short window.,Reward encourages gaining useful altitude early but does not dominate pursuit reward.,"D2-016,D2-040",Reward term is nonzero only within configured launch window.,P1,M,
D2-044,4 - Spawn/Launch,Docs,"Document expected launch behavior: stabilize, scan upward-forward, acquire target.",README or env docs describe the intended learned sequence.,D2-040,Docs mention the sequence explicitly.,P2,S,
D2-050,5 - Target Model,State,"Create a 3D target state with position, velocity, and optional heading.",Target state exists independently from agent and is included in internal env state.,D2-010,Reset includes valid target state.,P0,M,
D2-051,5 - Target Model,Motion,Implement a simple target hover behavior.,Target can hover with minor drift and stays inside bounds.,D2-050,Step target for N frames and assert bounded motion.,P0,S,
D2-052,5 - Target Model,Motion,Implement a straight-line target patrol behavior.,Target can move at configured speed and turn/reflect at bounds.,D2-050,Target moves consistently over multiple steps.,P1,M,
D2-053,5 - Target Model,Motion,Implement a lateral/random patrol target behavior for harder curriculum levels.,Target changes direction using seeded randomness while remaining bounded.,"D2-011,D2-052",Same seed produces same target path.,P2,M,
D2-054,5 - Target Model,Curriculum,Expose target behavior selection through config.,"Config can select hover, straight, or random patrol.","D2-051,D2-052,D2-053",Parameterized tests for each target mode.,P1,S,
D2-060,6 - Obstacles,Primitives,"Create obstacle primitive classes or dictionaries for cylinders, spheres, and boxes.","Each primitive has position, size, collision helper, and render/debug metadata.",D2-010,Unit tests instantiate all primitive types.,P0,M,
D2-061,6 - Obstacles,Trees,Implement tree trunk obstacles as vertical cylinders.,"Tree trunks have radius, height, base position, and collision with rotor span.","D2-060,D2-031",Known collision/noncollision cases pass.,P0,M,
D2-062,6 - Obstacles,Canopies,Implement tree canopy obstacles as spheres or ellipsoids.,Canopies affect collision and occlusion separately from trunks.,D2-060,Known canopy collision/noncollision cases pass.,P1,M,
D2-063,6 - Obstacles,Generator,Implement seeded random obstacle generation.,Reset creates configurable obstacle count with no immediate spawn collisions.,"D2-011,D2-060,D2-040,D2-041",Seeded resets match and spawn clearance is valid.,P0,M,
D2-064,6 - Obstacles,Generator,Add minimum clearance rules around agent and target spawn zones.,No obstacle spawns too close to initial agent or target position.,D2-063,Spawn many seeds and assert clearance constraints.,P0,S,
D2-065,6 - Obstacles,Curriculum,Expose obstacle density through curriculum level.,"Curriculum can run with 0, few, medium, or dense obstacles.","D2-063,D2-090",Configs generate expected obstacle count ranges.,P1,S,
D2-066,6 - Obstacles,Penalty,Add near-obstacle clearance penalty before collision.,Reward has a smooth penalty as rotor span approaches obstacle clearance threshold.,"D2-032,D2-016",Reward term becomes more negative near obstacle.,P0,M,
D2-067,6 - Obstacles,Termination,Terminate or fail episodes on obstacle collision.,"Collision sets collision flag, failure flag, and terminal state according to config.","D2-031,D2-015",Force collision and assert done/failure info.,P0,S,
D2-070,7 - Perception,Vision Cone,Implement forward/upward-biased vision cone from agent yaw and pitch bias.,Target visibility requires range and angle within sensor cone.,"D2-021,D2-050",Place target inside/outside cone and assert visibility.,P0,M,
D2-071,7 - Perception,Vision Cone,Add configurable upward scan pitch bias.,Sensor cone can point slightly upward from horizontal using config.,D2-070,Changing pitch bias changes visibility for elevated target.,P0,S,
D2-072,7 - Perception,Visibility,Hide exact target relative position when target is not visible.,Observation uses zeros/sentinel for target vector when not visible while preserving target_visible flag.,"D2-014,D2-070",Observation differs correctly for visible vs hidden target.,P0,M,
D2-073,7 - Perception,Last Seen,Track last seen target bearing/direction.,Env stores last seen vector and exposes it in observation after target is lost.,D2-072,Make target visible then hidden and assert last_seen persists.,P0,M,
D2-074,7 - Perception,Last Seen,Track time since target was last seen.,Observation includes normalized time_since_seen.,D2-073,Assert counter resets on visibility and increments when hidden.,P1,S,
D2-075,7 - Perception,Obstacle Sensor,Implement simple obstacle ray/proximity sensor.,"Observation includes fixed number of ray distances around/forward of drone, normalized to sensor range.","D2-060,D2-014",Known obstacle in ray returns expected shorter distance.,P0,L,
D2-076,7 - Perception,Occlusion,Block target visibility when obstacle occludes line of sight.,Obstacle between agent and target can make target_visible false.,"D2-070,D2-060",Line-of-sight test with blocker passes.,P1,L,
D2-077,7 - Perception,Noise,Add optional observation noise for target bearing/range and obstacle rays.,Noise is disabled by default and enabled through config/curriculum.,"D2-014,D2-070,D2-075",Seeded noisy observations are reproducible.,P2,M,
D2-080,8 - Reward/Success,Reward,Add distance-progress reward based on previous distance to target.,"Reward is positive when agent gets closer and negative/zero when moving away, bounded by config.","D2-016,D2-050",Synthetic positions produce expected sign.,P0,M,
D2-081,8 - Reward/Success,Reward,Add target-visible reward.,Small reward is applied while target is visible in the sensor cone.,"D2-070,D2-016",Visible target gives visible reward term.,P0,S,
D2-082,8 - Reward/Success,Reward,Add reacquisition reward after losing the target.,Reward fires when target_visible changes from false back to true after at least one lost step.,"D2-073,D2-016",Visibility transition test confirms reward.,P1,M,
D2-083,8 - Reward/Success,Reward,Add time penalty per step.,Each nonterminal step includes small negative time cost.,D2-016,Step reward_terms includes time_penalty.,P0,S,
D2-084,8 - Reward/Success,Reward,Add smooth-control penalty.,Large action changes or high acceleration incur small penalty.,"D2-013,D2-022,D2-016",Repeated jerky actions produce lower reward than smooth actions.,P1,M,
D2-085,8 - Reward/Success,Success,Implement capture radius condition.,Agent is considered in capture zone when distance_to_target <= capture_radius.,"D2-050,D2-020",Known positions inside/outside capture radius pass.,P0,S,
D2-086,8 - Reward/Success,Success,Implement hold-for-N-steps success instead of instant terminal success.,Episode succeeds only after staying within capture radius for configured hold steps.,D2-085,Enter for one step only does not succeed; hold N steps succeeds.,P0,M,
D2-087,8 - Reward/Success,Success,Add terminal success reward when hold condition is met.,Large positive reward fires once on successful hold completion.,"D2-086,D2-016",Reward term fires only on final success step.,P0,S,
D2-088,8 - Reward/Success,Failure,Add crash and out-of-bounds penalties.,Terminal failure rewards are strongly negative and named in reward_terms.,"D2-067,D2-026,D2-016",Crash/OOB tests show negative terminal reward.,P0,S,
D2-089,8 - Reward/Success,Validation,Add a reward sanity script for hand-authored scenarios.,Script prints reward terms for closer/farther/visible/hidden/collision/success cases.,"D2-080,D2-081,D2-086,D2-088",Run script and inspect expected signs.,P1,M,
D2-090,9 - Curriculum,Curriculum,Define curriculum levels 0 through 5 in config.,"Levels progressively add 3D, target motion, obstacles, FOV limits, occlusion, and noise.",D2-010,Docs/table lists every level and enabled features.,P1,M,
D2-091,9 - Curriculum,Curriculum,Implement curriculum config factory.,Function returns env config for a given curriculum level.,D2-090,Parameterized test validates feature toggles by level.,P1,M,
D2-092,9 - Curriculum,Training,Create a minimal train command for v2 curriculum level 0.,Command trains or smoke-runs with no obstacles and no perception noise.,"D2-012,D2-091",Run short training/smoke test without crashing.,P0,M,
D2-093,9 - Curriculum,Training,Create a minimal eval command for trained/random policy.,"Eval runs fixed seeds and records success, collision, timeout, and mean reward.","D2-092,D2-015",Eval command produces a metrics summary.,P0,M,
D2-094,9 - Curriculum,Metrics,Log per-episode metrics to CSV.,"Metrics CSV includes seed, curriculum_level, success, collision, timeout, reward, steps, visibility_ratio, mean_clearance.",D2-093,CSV exists and has required columns after eval.,P1,S,
D2-095,9 - Curriculum,Training,Add checkpoint naming convention that includes env version and curriculum level.,Checkpoints cannot be confused with v1 checkpoints.,D2-092,Saved checkpoint path includes v2 and level.,P2,S,
D2-100,10 - Rendering/Debug,Render,Implement a top-down debug render.,"Render shows agent, target, obstacles, capture radius, and vision cone projection.","D2-033,D2-070,D2-060",Manual render smoke test produces image/window.,P1,M,
D2-101,10 - Rendering/Debug,Render,Implement a side-view debug render for altitude behavior.,"Render shows z-axis, launch height, target altitude, and obstacles.","D2-040,D2-041,D2-060",Manual side-view render shows altitude differences.,P2,M,
D2-102,10 - Rendering/Debug,Debug,Add a debug episode recorder for GIF or frame sequence if project already supports rendering.,Recorder can save a short episode visualization for review.,D2-100,Run one random-policy episode and save frames/GIF.,P2,M,
D2-103,10 - Rendering/Debug,Debug,Add optional verbose step debug output for reward terms and visibility.,Verbose mode prints or logs compact diagnostics without spamming by default.,"D2-015,D2-016",Enable verbose for 5 steps and see diagnostics.,P2,S,
D2-110,11 - Tests,Testing,Add reset determinism tests.,Same seed produces same observation and obstacle layout; different seeds usually differ.,"D2-011,D2-063",pytest reset determinism test passes.,P0,M,
D2-111,11 - Tests,Testing,Add action/observation space compliance tests.,reset and step outputs are contained in observation_space; sampled actions are accepted.,"D2-013,D2-014",pytest space compliance test passes.,P0,M,
D2-112,11 - Tests,Testing,Add dynamics limit tests.,"Velocity, acceleration, yaw, and bounds behavior respect config caps.","D2-022,D2-023,D2-024,D2-026",pytest dynamics tests pass.,P0,M,
D2-113,11 - Tests,Testing,Add obstacle collision and clearance tests.,"Known geometry cases validate collision, near miss, and clearance values.","D2-031,D2-032,D2-061,D2-062",pytest geometry tests pass.,P0,M,
D2-114,11 - Tests,Testing,Add perception visibility tests.,"Known target placements validate FOV, range, upward bias, and hidden states.","D2-070,D2-071,D2-072",pytest visibility tests pass.,P0,M,
D2-115,11 - Tests,Testing,Add occlusion tests.,Obstacle line-of-sight blockers hide target when occlusion is enabled.,D2-076,pytest occlusion tests pass.,P1,M,
D2-116,11 - Tests,Testing,Add reward sign tests.,"Closer, visible, reacquire, collision, and success scenarios produce expected reward signs.","D2-080,D2-081,D2-082,D2-087,D2-088",pytest reward tests pass.,P0,M,
D2-117,11 - Tests,Testing,Add episode lifecycle tests.,"Success, collision, out-of-bounds, and timeout terminate/truncate correctly.","D2-026,D2-067,D2-086",pytest lifecycle tests pass.,P0,M,
D2-118,11 - Tests,Testing,Add a short random-policy rollout smoke test.,"Random policy can run multiple episodes without NaN, shape errors, or crashes.","D2-111,D2-117",pytest random rollout smoke test passes.,P0,S,
D2-120,12 - Swarm-Ready,Architecture,Keep single-agent training path as default but design state containers to allow N friendly drones later.,Code does not hard-code impossible-to-extend singletons where a list/container is reasonable.,"D2-020,D2-050",Code review confirms no unnecessary hard-coded singleton blockers.,P2,M,
D2-121,12 - Swarm-Ready,Architecture,Add docs for future friendly-drone observation fields without enabling multi-agent training yet.,"Docs specify future fields: nearby friendly bearing/distance, agent id/role, optional comm vector.",D2-014,Docs include future swarm observation notes.,P2,S,
D2-122,12 - Swarm-Ready,Architecture,Reserve config names for future friendly-drone collision and spacing penalties.,Config/doc notes future names but leaves them disabled.,D2-010,Config/docs contain disabled future swarm knobs.,P3,S,
D2-123,12 - Swarm-Ready,Safety,Document that swarm work is deferred until single-drone v2 success metrics are stable.,"README says swarm is future work, not part of this implementation pass.",D2-090,Docs include deferred swarm section.,P2,S,
D2-130,13 - Docs/Review,Docs,"Create an ENV_SPEC.md describing state, action, observation, reward, termination, and curriculum.",Spec is clear enough for Qwen/Codex to audit without reading every source file.,"D2-010,D2-014,D2-016,D2-090",Spec file exists and matches implementation names.,P1,M,
D2-131,13 - Docs/Review,Docs,Create a TEST_PLAN.md for v2.,Test plan maps major feature areas to concrete pytest or smoke commands.,"D2-110,D2-118",Test plan contains commands and expected outputs.,P1,S,
D2-132,13 - Docs/Review,Docs,Create a CHANGELOG entry for v2.,Changelog summarizes environment changes and safe scope.,D2-003,Changelog entry exists.,P2,S,
D2-133,13 - Docs/Review,Review,Run the full local test suite after implementation.,All relevant tests pass or failures are documented with cause and next fix.,"D2-110,D2-118",pytest output captured in notes.,P0,S,
D2-134,13 - Docs/Review,Review,Run one short training smoke test and one eval smoke test.,Training and eval commands complete on local machine with no crashes.,"D2-092,D2-093",Command outputs show completion.,P0,M,
D2-135,13 - Docs/Review,Review,Prepare a Qwen thermonuclear debugging review handoff.,"A prompt/file tells Qwen exactly what to inspect: invariants, reward hacking, geometry bugs, determinism, tests, and docs mismatch.","D2-130,D2-131,D2-133",Review handoff file exists.,P1,S,
